Latitude,Longitude,Change in first bloom date
44.92,-110.42,-3.375
44.09,-104.61,-3.553571429
44.98,-110.7,-1.458333333
35.14,-111.67,-9.2
33.63,-116.16,-1.875
33.8,-118.34,-7.444444444
39.34,-81.44,-8.875
35.74,-81.38,-9.45
35.59,-88.92,-3.225
32.69,-83.65,-2.125
37.07,-88.77,-9.775
33.37,-81.96,-6.275
32.13,-81.2,-3.675
36,-84.22,-8.275
30.59,-96.36,-0.319444444
38.78,-97.64,-11.80952381
36.77,-96.01,-1.775
42.2,-75.98,-0.569444444
28.42,-81.32,-4.75
29.17,-81.07,-4.425
27.96,-82.54,-5.7
30,-90.28,-1.75
29.95,-94.03,-3.175
29.65,-95.28,-3.85
25.92,-97.42,-0.402777778
29.54,-98.48,-1.45
27.78,-97.51,-2.430555556
28.72,-96.25,-1.3
38.3,-76.42,-8.442857143
35.89,-78.78,-10.875
36.1,-79.94,-13.25
39.38,-74.42,-9.425
